x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	y	Set	Test
0.40956563	0.51490411	0.48041642	0.31317649	0.41804194	0.96994029	0.50518753	0.68749232	0.67769491	0.29549064	9.63697949	Train	0
0.83111116	0.57161912	0.16794956	0.63789825	0.73046637	0.48863015	0.75233174	0.26537761	0.05625827	0.54238823	18.4742413	Train	0
0.32799995	0.00408211	0.86358022	0.26861752	0.64318245	0.35122916	0.92670947	0.92888907	0.11624207	0.27767137	10.1040906	Train	0
0.53965351	0.20164804	0.56764281	0.693276	0.81040628	0.66055216	0.30826104	0.78570045	0.55219391	0.50183372	11.2472116	Train	0
0.36516065	0.93370338	0.77594185	0.48379559	0.31971704	0.32439036	0.52548087	0.94626055	0.56168574	0.22799673	8.391558	Train	0
0.99482038	0.06028197	0.63950242	0.83173514	0.53148323	0.44762749	0.9097499	0.82568716	0.17208308	0.01839277	9.73369787	Train	0
0.22178915	0.0257486	0.59213311	0.34920889	0.50201545	0.24567797	0.56607048	0.1451747	0.83374569	0.13060688	7.15302363	Train	0
0.26755635	0.8448144	0.06035846	0.09626436	0.91207462	0.46716858	0.49984772	0.51767877	0.16342483	0.84794175	11.2968963	Train	1
0.08715409	0.53257646	0.85373295	0.02086897	0.41170642	0.003658	0.33020871	0.31495141	0.90105695	0.85037503	4.4151625	Train	0
0.40972997	0.82993132	0.51241015	0.7008318	0.44332179	0.67959156	0.38796219	0.55705078	0.2928416	0.75203072	10.4372182	Train	0
0.80957359	0.47385491	0.29890315	0.03290761	0.33372964	0.68360096	0.96759296	0.42577208	0.8780295	0.58291976	6.92254201	Train	1
0.76039162	0.10073855	0.50994565	0.7175926	0.04045858	0.99897159	0.88281357	0.15516873	0.56120732	0.2277085	8.38293417	Train	2
0.81261276	0.83248506	0.61443367	0.87435942	0.78779575	0.49118767	0.72237967	0.00951152	0.49887933	0.26906768	17.8480172	Train	0
0.46219589	0.72143882	0.63146389	0.67421871	0.44017397	0.41882746	0.43985662	0.29210057	0.22041906	0.49885266	12.9939742	Train	0
0.88731991	0.15738797	0.59601329	0.75654399	0.9575639	0.12178723	0.4032036	0.65049601	0.96597838	0.50883252	14.1112954	Train	0
0.18386541	0.61190794	0.87318342	0.21828426	0.77847945	0.87902846	0.38240494	0.75510909	0.43392407	0.15812158	10.0844566	Train	1
0.92751599	0.23978919	0.89384285	0.55796138	0.89530842	0.85722717	0.89908988	0.29317945	0.52504465	0.15546419	14.9590991	Train	2
0.34030078	0.86963675	0.2658979	0.66928358	0.47453292	0.3605565	0.92958938	0.49394987	0.2567458	0.16655903	13.010165	Train	0
0.90632754	0.84613821	0.48596252	0.70275982	0.64532204	0.22579445	0.6841932	0.46531049	0.68508596	0.69951953	16.8177245	Train	0
0.59559486	0.80394808	0.36480881	0.88450635	0.36276891	0.74487354	0.30183085	0.64489658	0.66358808	0.61555128	13.7840722	Train	0
0.33541866	0.6937443	0.39495763	0.56157018	0.03842928	0.10354858	0.17982272	0.45253254	0.706046	0.56993608	8.68813058	Train	0
0.08655577	0.94273252	0.10246344	0.33704981	0.33081889	0.34972692	0.36842851	0.05998346	0.23174844	0.79500808	8.54888311	Train	0
0.9722448	0.13083922	0.35198006	0.5188467	0.86627743	0.2831846	0.1761866	0.7385918	0.91111933	0.2342402	11.4737555	Train	0
0.38827364	0.74905327	0.97022242	0.22124753	0.80978557	0.81417411	0.55189905	0.42657939	0.45937506	0.77982233	13.3467462	Train	0
0.50012025	0.74928904	0.03961553	0.68370262	0.25979189	0.53495268	0.81966038	0.4137705	0.44599506	0.05469638	19.0744471	Train	2
0.3772468	0.64610264	0.51424685	0.10951925	0.08538955	0.06926216	0.96551801	0.99342221	0.06273715	0.22368798	3.7316988	Train	0
0.80308252	0.39053615	0.70645363	0.16323735	0.16636622	0.57269005	0.57562561	0.2666127	0.48274658	0.45757136	6.00233556	Train	0
0.66601364	0.55159941	0.51155418	0.05939382	0.84336684	0.68268314	0.49847311	0.45009141	0.83659397	0.34685371	10.7570208	Train	0
0.94687638	0.51719663	0.64894895	0.08877613	0.79341947	0.29471198	0.92228879	0.50213332	0.94188434	0.03299343	9.73465241	Train	0
0.65229196	0.51194925	0.2934655	0.44964668	0.39702469	0.27980891	0.57343381	0.89940893	0.69185676	0.34525286	13.2538329	Train	2
0.57731774	0.92372925	0.87658933	0.50845075	0.03991571	0.7223384	0.37871972	0.83727687	0.57282124	0.54915455	12.7136172	Train	2
0.32804685	0.32930565	0.52719269	0.62085671	0.92544156	0.21736753	0.51446332	0.66642495	0.51641553	0.99118741	11.3604257	Train	1
0.48235547	0.67787507	0.31878589	0.51684214	0.83555113	0.25058919	0.20410474	0.3921785	0.25637606	0.12009566	12.0353556	Train	0
0.05147969	0.28613731	0.79013724	0.29217852	0.02855816	0.07205377	0.24132044	0.63378604	0.35031473	0.0511473	3.81166998	Train	0
0.72459934	0.18296205	0.15724825	0.40883577	0.81725926	0.09643504	0.92117858	0.93289452	0.060234	0.7107397	10.9453801	Train	1
0.02152192	0.37480582	0.06633339	0.59342809	0.88416975	0.81923375	0.16439516	0.90865715	0.55083995	0.6553393	16.5176908	Train	0
0.07985399	0.94838225	0.14539906	0.54049631	0.38093103	0.70346724	0.32815592	0.88849749	0.82219781	0.96791551	11.3676375	Train	0
0.03541314	0.59143644	0.60945346	0.58255109	0.62696217	0.68622709	0.36209378	0.58218895	0.5444276	0.41148936	10.4954658	Train	0
0.60147689	0.06204281	0.67998296	0.05212765	0.85877751	0.62730751	0.64560134	0.53089183	0.37011113	0.34428251	8.40859416	Train	0
0.08795886	0.12817219	0.31550687	0.64181713	0.01566293	0.74639343	0.94186065	0.62579646	0.15226343	0.00627534	8.2133871	Train	0
0.51685743	0.66234179	0.57658571	0.89666778	0.037834	0.5733818	0.97147142	0.70252225	0.84546259	0.55498601	12.0413684	Train	0
0.19611635	0.2389502	0.98841127	0.13261472	0.92954266	0.44184401	0.97312888	0.05627942	0.60811029	0.11463536	13.1425362	Train	0
0.05083044	0.14394649	0.43896039	0.17741984	0.64102218	0.75737858	0.92654719	0.06045146	0.54678617	0.54328054	4.09318144	Train	1
0.34502227	0.84053451	0.10059492	0.57045479	0.22802069	0.14183153	0.56240267	0.46137919	0.04732128	0.4914545	14.4769922	Train	0
0.2707039	0.79899484	0.41460588	0.8456061	0.84487246	0.92884478	0.56919753	0.74505655	0.49251641	0.09814178	18.6605615	Train	0
0.80149557	0.29046111	0.22625438	0.62132938	0.0179868	0.96233763	0.45590162	0.61360594	0.67230164	0.38659082	8.18449346	Train	0
0.12114628	0.33862174	0.1415976	0.74310498	0.28575391	0.35861931	0.88047621	0.02071792	0.7659417	0.6836149	10.2969205	Train	1
0.07905229	0.89927713	0.4349337	0.26873495	0.9879227	0.53881226	0.26601791	0.33339145	0.47541654	0.76202241	8.45523617	Train	0
0.76138052	0.61145987	0.99018549	0.10800161	0.78032484	0.30148039	0.81379357	0.7994958	0.62849688	0.146663	12.9298556	Train	2
0.85436766	0.59069169	0.73946477	0.6232167	0.21996937	0.20936685	0.95094447	0.43847836	0.8840157	0.71395732	13.5321233	Train	0
0.71119776	0.4701691	0.86535648	0.1099773	0.71188012	0.87998075	0.51135374	0.87433873	0.32369509	0.58817878	12.4387024	Train	0
0.38466421	0.66585845	0.63238347	0.56732265	0.16186287	0.67039877	0.9379875	0.39570683	0.13657486	0.23617845	9.37179005	Train	0
0.36661738	0.20807428	0.99016574	0.35861162	0.47355224	0.07264439	0.35589747	0.57847329	0.99074362	0.15726496	12.2806075	Train	0
0.66412445	0.58775212	0.44207718	0.94411506	0.5181597	0.46460383	0.9543833	0.64753715	0.86709468	0.92042103	16.072599	Train	0
0.61872789	0.97223876	0.99566788	0.22394874	0.02858905	0.79947937	0.6565788	0.36707369	0.74910511	0.74683715	11.680898	Train	0
0.48979901	0.91144899	0.42910451	0.42612665	0.05561089	0.12914483	0.24164402	0.65577307	0.01692029	0.94786978	8.0732906	Train	0
0.05334252	0.05133434	0.03877872	0.84485832	0.9660339	0.98300653	0.85975518	0.30275299	0.07786102	0.22054994	17.1354316	Train	2
